,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
coupon_avg,6.1079409354601415,5.824256976224688,5.616913775384751,5.447705008105244,5.444736458343262,5.572253208401794,5.738890400861824,5.7588951171839975,5.656113498685564,5.647129843926177,5.863376540934595,6.218629122506748,6.662634233316353,6.894966943142205,7.020434921039226,7.186073543589037,7.275511040481766,6.979546565631875,6.987294133476857,7.028282087118566
coupon_median,6.25,6.0,5.65,5.5,5.375,5.5,5.65,5.7,5.5,5.25,5.3,6.05,6.73,6.84,6.86,6.875,6.95,6.86,6.75,6.95
coupon_std,1.3885344569089941,1.4596209860251006,1.4389216764372463,1.3895781362602013,1.378063831013665,1.345777728930365,1.3028810551106569,1.2385396055471312,1.2228036880605775,1.3549586907403166,1.4391440815649355,1.5017384106037106,1.586711956076694,1.6404662533076055,1.5866523194121005,1.4633927877845685,1.1641811803184012,0.9845845851674964,1.0141925187113086,1.0023726460619684
age_avg,3.033607520234279,3.310781503565958,3.777770526763627,4.428936338394342,5.255817742949057,6.216113729228347,7.181880713102359,8.264957353135882,9.202026940065165,10.390387627903875,11.585317213865704,13.159928869202476,15.433389486318815,16.741858462308596,17.98434008611365,18.99403267220448,19.81577886038763,19.6746262259621,20.62486102304732,21.607112566171754
age_median,2.210958904109589,2.5863013698630137,3.1890410958904107,3.9397260273972603,4.64931506849315,5.624657534246575,6.693150684931507,7.756164383561644,8.561643835616438,9.287671232876713,9.934246575342465,11.654794520547945,15.884931506849314,17.216438356164385,18.39178082191781,19.367123287671234,19.95068493150685,18.602739726027398,19.482191780821918,20.564383561643837
age_std,2.684203981019343,2.7185199002213123,2.655437938882578,2.4406971861106723,2.484314914073229,2.5463321350435866,2.5594220699611547,2.6745573120494273,2.9534109014805563,3.362132491160855,3.502110941269243,3.6926094834308674,3.7409444156756484,3.5648201803382173,3.5250255604229577,3.5610187105435602,3.5388792865861047,2.9805528391525598,3.0504582692853788,2.9251359444107994
turnover_avg,20.73055900672247,16.917834944413837,12.813057984656586,8.068420916301283,7.0679261141997936,7.299837640409214,7.1791985950229495,5.89232085765619,5.755664310289388,5.022097840760855,4.775248903686095,4.6167673511524345,2.696791442823807,2.472442459861251,3.2002004234728747,2.738943602474236,2.8995928533107738,1.7884152058803158,1.52529801340376,2.3723612079657963
turnover_median,11.200836363636363,9.49031990365445,7.534282277465919,6.029676962589411,4.898623847088188,4.789849770998487,5.055483324766425,4.229841816162566,4.14500321336761,3.4234764159954953,3.229,2.4925217321475173,1.7293534331647218,1.4649694542631224,1.5614814814814815,1.499503176658336,1.562005944476064,0.8914339294086129,0.8545946604126715,1.1274618056252634
turnover_std,44.83341869503047,38.14326220495207,27.514294912326125,8.912588777608255,8.154461206558024,8.977884325769807,7.22254083316471,6.014572606588399,5.343318105993143,5.346254080521351,5.32723183788667,7.761499055025851,3.231321516843352,3.1081355617407467,5.9215458596658594,4.366806583777036,4.766885510873551,2.3822769324233906,1.752137404501508,3.189236192494538
trade_size_avg,745.3347356064626,700.3727006517062,488.03164403698554,362.74765055135714,332.31716716620286,228.8842973458438,149.71266623010303,194.4841161689895,216.23997781417197,189.28986853815437,211.81812385310485,211.95192661627482,160.34039839966871,153.18986816966336,169.80706856070637,138.4484710548666,139.7898671159525,123.18296030036377,135.05254255977746,115.72506993732046
trade_size_median,410.91423791212844,360.07114166666673,283.3337971027167,234.59328540272415,197.6983752490043,129.49319948357885,91.89331568876362,114.67242310790367,128.05069393960673,105.47556016957262,109.15419865408923,106.67969217402509,62.40692701052632,47.507095721038255,46.439454030810914,32.58777054777778,41.77337444837994,44.927383157558054,36.012361806098895,39.92105216353591
trade_size_std,2124.480383861337,5714.116670313964,1184.1333588667114,396.2355552934348,427.63360235926416,304.2206883459085,177.96504851057406,260.4588056781629,280.37527149085895,246.01721573544575,304.8365094234259,275.874068383579,233.41401330396414,279.2668305468268,329.6286845726484,297.38334280252604,212.11593550942075,159.6001720564345,197.17335094934947,158.20630328172268
#trade_avg,370.1739661490141,315.28766483837086,336.9798421372192,264.07304975199156,262.8113480303578,433.83107221006566,684.853302162478,479.0641267446247,430.55172413793105,394.8245398773006,336.9786286731968,236.84873949579833,190.98920086393088,232.49616368286445,234.08847184986595,265.0225352112676,312.6333333333333,188.67156862745097,189.83838383838383,262.04651162790697
#trade_median,234.0,205.0,199.0,188.0,182.0,270.0,418.5,327.0,285.0,258.0,251.0,183.0,146.0,186.0,197.0,218.0,218.0,166.5,161.5,200.0
#trade_std,545.1432239806009,347.8591272982475,545.3080237261122,234.66207792156112,261.88883723170045,567.8757311655274,841.4081633007427,538.2250623791145,589.3047903337508,615.7117706700797,337.9945910386432,177.43910582142325,128.02339263046974,162.99004015697747,176.45473756676316,198.23154454687966,351.0552160045694,106.76379238775185,111.96253063143519,218.04911920782234
Avg_return_avg,0.009858530763847266,-0.09281488241289786,-0.35753020273274977,0.008863835447113852,-0.00423033909861868,-0.9542459594997487,0.5108814961106749,0.11352065360502807,0.19202018470492518,-0.24845521881230015,-0.22056518063469008,1.2107288792002133,0.5585295430759967,0.04898877450351747,-2.716049136127578,-0.8863097887933372,0.966725045440833,-6.601151254159413,-0.7030951189183445,-0.15745963038295482
Avg_return_median,-0.1266349424425249,-0.12405174205666311,-0.2691025842417235,-0.07872664604025692,0.024509334219576646,-0.06423983008068523,0.29359197465627074,-0.015869092352836085,-0.2725062169609602,-0.11889241638077457,-0.2969981771607888,-0.2150414564992254,-0.32624872008122774,0.08005161640294824,0.22623868488918752,-0.6914764367919458,1.0008755669070553,0.4075563998174048,-0.5259567370668097,-1.5902259097713853
Avg_return_std,0.5093272864260081,0.3678747252326402,0.6378306935199489,1.6100934230588302,0.5754143062951085,14.138878985253925,1.7956142691555048,1.2547477080172098,2.896028537221797,10.349406170465077,0.8567239224819123,7.73291293052409,7.674869795912529,0.45703909479996546,18.095244960292465,0.655579698080926,0.7260678628762968,39.8905357490292,3.214614820267347,4.554195208855357
volatility_avg,2.256606495192535,1.6863566942552788,1.2320255754966312,0.8437840636361896,0.9404627702073042,3.9799297080123193,3.4519805136413146,0.9467967661146929,1.0465246495157223,1.512318496072359,1.1775631184874573,0.8287089914568024,1.6740364838755901,2.127720181868882,1.2044638414696096,1.3821375669836944,1.816731416440565,4.2635965543917616,2.1274474177372658,6.102762559729059
volatility_median,2.089159303670714,1.3393592617421528,0.9833710058293361,0.6077088714437988,0.7744616634287529,2.6086040413761493,1.651885653723982,0.7579955882914104,0.5353863959864306,0.6024076742697563,0.3825185100455931,0.5336650789736592,1.6957126746529192,2.3496999885031955,1.1659957470043505,1.3536815761097765,1.7415260192769155,4.5438021781964135,1.4406668515769692,3.372408462356814
volatility_std,1.4480497694034213,5.797878385133864,1.2450650331958633,1.328653986928958,0.8526579153475838,4.341489664598141,4.462004543743685,0.7342544059199717,1.1831341180849744,2.9355082544602773,2.0381733065305063,0.7896744059819935,1.3660859025071455,1.240623326234991,0.817213604931228,0.8146223365948547,1.0294107347534824,1.51811304088774,3.742881959814567,10.368550114677632
prclean_avg,106.87322530420245,104.95122429750194,102.35223441411802,99.93076769994452,100.15405474210756,98.28387337575812,100.2945188247338,106.33436166008806,106.38129949493434,108.56226693480279,109.9820863292347,114.04460078737353,117.86131888809295,120.29838545403463,120.7660919390345,115.42701014013232,119.38478718847752,128.4077099907343,130.41323908509176,112.28787501468943
prclean_median,107.17523554525822,104.69372517349943,101.58044969416716,99.92740006686493,99.82019950984382,100.21727563699625,102.67497620423435,106.44917178138233,105.83750507898687,105.3307537944231,105.47393918158899,109.13023353309369,116.67816584208873,120.69291073771963,121.26268593390498,114.88401026617385,119.54017395775911,128.65649246999817,130.73211958943446,110.11785675765653
prclean_std,7.857536157514689,7.481761414648018,7.369155519476967,6.795127147746657,6.210227573883698,9.302039014514248,11.039694520872732,6.23798698282552,7.372411059990326,11.173173547631798,11.727725736392545,14.444189631828095,15.591768906721727,16.28235546417272,16.77133354380561,13.619999941560598,13.96905730480725,16.51133672742249,10.978868423983885,10.14911594887059
